codigo,asentamiento,tipo,clave_tipo,municipio
64000,Monterrey Centro,Colonia,9,39
64000,La Finca,Condominio,10,39
64004,Amway,Gran usuario,22,39
64007,Secretaría de Hacienda y Crédito Público,Gran usuario,22,39
64009,Palacio de Gobierno Del Estado de Nuevo León,Gran usuario,22,39
64010,Obrera,Colonia,9,39
64018,Nuevo Centro de Monterrey,Equipamiento,17,39
64018,Desarrollo Urbano Reforma,Unidad habitacional,31,39
64019,Condominios Constitución,Unidad habitacional,31,39
64020,Mitras Sur,Colonia,9,39
64020,Gonzalitos,Colonia,9,39
64030,Chepevera,Colonia,9,39
64030,Lomas,Colonia,9,39
64040,María Luisa,Colonia,9,39
64040,Deportivo Obispado,Colonia,9,39
64040,Unidad Aldama,Colonia,9,39
64049,Exseminario,Colonia,9,39
64050,Jardines del Cerro,Colonia,9,39
64050,Jardín,Colonia,9,39
64060,Obispado,Colonia,9,39
64070,Mirador,Colonia,9,39
64100,Barrio Antiguo,Colonia,9,39
64100,San Bernabé,Colonia,9,39
64102,Barrio Puerta del Sol,Colonia,9,39
64102,Barrio Alameda,Fraccionamiento,21,39
64102,Urbi Villa Bonita,Fraccionamiento,21,39
64102,Urbi Villa del Cedro Primer Sector,Fraccionamiento,21,39
64102,Barrio de la Industria,Colonia,9,39
64102,Mirasol Sector 3 (San Felipe),Barrio,2,39
64102,Barrio Margaritas,Colonia,9,39
64102,Privadas de Lincoln,Fraccionamiento,21,39
64102,Mirasol,Barrio,2,39
64102,Barrio Aztlán,Colonia,9,39
64102,Barrio Santa Isabel,Colonia,9,39
64102,Urbi Villa del Cedro Segundo Sector,Fraccionamiento,21,39
64102,Las Plazas,Fraccionamiento,21,39
64102,Barrio Estrella Norte y Sur,Colonia,9,39
64102,Arcos del Sol Elite,Fraccionamiento,21,39
64102,Barrio Moderna,Colonia,9,39
64102,Barrio del Prado,Colonia,9,39
64102,Barrio San Pedro,Colonia,9,39
64102,Arcos del Sol,Fraccionamiento,21,39
64102,Barrio San Carlos,Colonia,9,39
64102,Barrio Topo Chico,Colonia,9,39
64102,Barrio Acero,Colonia,9,39
64102,Barrio Chapultepec Norte,Colonia,9,39
64102,Jardines del Rey,Fraccionamiento,21,39
64102,Reserva Cumbres,Fraccionamiento,21,39
64102,Villas de San Bernabé,Colonia,9,39
64102,Barrio Chapultepec Sur,Colonia,9,39
64102,Barrio del Parque,Colonia,9,39
64102,Barrio San Luis,Colonia,9,39
64102,Urbi Villa del Rey,Fraccionamiento,21,39
64102,Las Estaciones,Fraccionamiento,21,39
64103,Real de San Bernabé,Fraccionamiento,21,39
64103,Profesor Miguel Ramos Arizpe,Colonia,9,39
64103,Lorenzo Garza (P-1),Colonia,9,39
64103,Alfonso Reyes (P-38),Colonia,9,39
64103,Arboledas de Escobedo (P-44),Colonia,9,39
64103,Cerradas del Poniente,Fraccionamiento,21,39
64103,La Alianza Sector D (P-94),Fraccionamiento,21,39
64103,"La Alianza Sector E (P-47,48)",Fraccionamiento,21,39
64103,"La Alianza Sector H (P-140,192)",Fraccionamiento,21,39
64103,La Alianza Sector T (P-24),Fraccionamiento,21,39
64103,María Leija Briones,Colonia,9,39
64103,Cuauhtémoc,Colonia,9,39
64103,José María Morelos,Colonia,9,39
64103,La Alianza Trazo Mao (P- 46),Colonia,9,39
64103,Valles de San Bernabé I,Colonia,9,39
64103,Los Nogales III (P-102),Colonia,9,39
64103,La Alianza Sector F (P-142),Fraccionamiento,21,39
64103,Paseo de San Bernabé,Colonia,9,39
64103,Villas de la Alianza,Colonia,9,39
64103,Martín de Zavala (P-34),Colonia,9,39
64103,San Antonio (P-37),Colonia,9,39
64103,Las Torres,Colonia,9,39
64103,La Alianza Sector M (P-61),Fraccionamiento,21,39
64103,La Alianza Sector Q (P-90),Fraccionamiento,21,39
64103,Homero López Ortiz,Colonia,9,39
64103,Villas de San Agustín,Colonia,9,39
64103,Madero,Colonia,9,39
64103,Santa Ana (P-63),Colonia,9,39
64103,Valles de San Bernabé III,Colonia,9,39
64103,"Los Nogales I y II (P-98, 109)",Colonia,9,39
64103,Arboledas de San Bernabe,Colonia,9,39
64103,Ampliación Nogales (P-87),Colonia,9,39
64103,La Alianza Trazo de A (P-28),Colonia,9,39
64103,Villas de San Sebastián,Colonia,9,39
64103,La Alianza P-128,Fraccionamiento,21,39
64103,"San Rodolfo Uno (P-89, 139)",Colonia,9,39
64103,Ignacio Manuel Altamirano,Colonia,9,39
64103,Valle de la Esperanza,Fraccionamiento,21,39
64103,San Gabriel,Colonia,9,39
64103,Urbi Villa Colonial,Colonia,9,39
64103,La Alianza Sector B,Fraccionamiento,21,39
64103,"La Alianza Sector I (P-58,68)",Fraccionamiento,21,39
64103,"La Alianza Sector J (P-79,137,87)",Fraccionamiento,21,39
64103,"La Alianza Sector K (P-43,51)",Fraccionamiento,21,39
64103,La Alianza Sector V (P-68),Fraccionamiento,21,39
64103,Balcones de San Bernabé,Colonia,9,39
64103,Villas del Carmen,Colonia,9,39
64103,La Alianza Sector C,Fraccionamiento,21,39
64103,San David I (P-33),Colonia,9,39
64103,Venustiano Carranza Sector la Alianza,Colonia,9,39
64103,Vicente Suárez,Colonia,9,39
64103,Portales de San Bernabé,Colonia,9,39
64103,San Isidro (P-108),Colonia,9,39
64103,"La Alianza Sector N (P-71,74)",Fraccionamiento,21,39
64103,Periodistas de México Primera Etapa,Colonia,9,39
64103,Misión San Bernabé,Colonia,9,39
64103,La Alianza Trazo Marcelino (P-130),Colonia,9,39
64103,Periodistas,Colonia,9,39
64103,Unión Antorchista,Colonia,9,39
64103,Aniceto Corpus,Colonia,9,39
64103,"Las Fuentes (P-53, 54, 134)",Colonia,9,39
64103,Jerónimo Treviño (P-35),Colonia,9,39
64103,"El Palmar (P-96, 141)",Colonia,9,39
64103,La Alianza Trazo Rosario (P- 90),Colonia,9,39
64103,Ingeniero José María Maldonado Tijerina,Colonia,9,39
64103,La Alianza Sector O (P-67),Fraccionamiento,21,39
64103,La Alianza Sector R (P-8-9),Fraccionamiento,21,39
64103,"Los Ángeles (P-49, 50, 133)",Colonia,9,39
64103,Comercial Lincoln Poniente,Zona industrial,37,39
